id_anssi,title,published,link,type,cve_id
CERTFR-2023-ALE-010,Multiples vulnérabilités dans Exim (02 octobre 2023),"Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42116
CERTFR-2023-ALE-010,Multiples vulnérabilités dans Exim (02 octobre 2023),"Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42115
CERTFR-2023-ALE-010,Multiples vulnérabilités dans Exim (02 octobre 2023),"Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42117
CERTFR-2023-ALE-010,Multiples vulnérabilités dans Exim (02 octobre 2023),"Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42119
CERTFR-2023-ALE-010,Multiples vulnérabilités dans Exim (02 octobre 2023),"Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,alerte,CVE-2023-42114
CERTFR-2023-ALE-011,[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),"Tue, 17 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,alerte,CVE-2023-20198
CERTFR-2023-ALE-011,[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),"Tue, 17 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,alerte,CVE-2023-20273
CERTFR-2023-ALE-012,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),"Mon, 23 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/,alerte,CVE-2023-4966
CERTFR-2023-ALE-013,Vulnérabilité dans Apache Struts 2 (13 décembre 2023),"Wed, 13 Dec 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/,alerte,CVE-2023-50164
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2023-46805
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-21887
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-21893
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-21888
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,alerte,CVE-2024-22024
CERTFR-2024-ALE-002,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),"Fri, 12 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,alerte,CVE-2024-0402
CERTFR-2024-ALE-002,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),"Fri, 12 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,alerte,CVE-2023-7028
